Date,Narrative,Debit,Credit,Balance
01/07/2024,SALARY DEPOSIT,0.00,5000.00,15000.00
02/07/2024,WOOLWORTHS GROCERIES,87.45,0.00,14912.55
03/07/2024,TRANSFER IN - JOHN,0.00,500.00,15412.55
04/07/2024,UTILITY BILL PAYMENT,123.80,0.00,15288.75
05/07/2024,ATM WITHDRAWAL,200.00,0.00,15088.75
06/07/2024,INTEREST EARNED,0.00,12.50,15101.25
07/07/2024,PURCHASE - AMAZON,45.99,0.00,15055.26
08/07/2024,TRANSFER OUT,1000.00,0.00,14055.26
09/07/2024,RENT PAYMENT,1500.00,0.00,12555.26
10/07/2024,REFUND,0.00,87.45,12642.71
